Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,2.8000000000000003e-05,2.8000000000000003e-05,2.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,198850
2018-12-08,2.7000000000000002e-05,3.5e-05,2.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,443170
2018-12-09,2.8000000000000003e-05,3.3e-05,2.7000000000000002e-05,2.9999999999999997e-05,2.9999999999999997e-05,319733
2018-12-10,2.9999999999999997e-05,3.3e-05,2.9999999999999997e-05,3.2e-05,3.2e-05,472929
2018-12-11,3.2e-05,3.6e-05,2.9999999999999997e-05,3.6e-05,3.6e-05,516347
2018-12-12,3.6e-05,3.6e-05,3.1e-05,3.1e-05,3.1e-05,389504
2018-12-13,3.1e-05,3.6e-05,3.1e-05,3.4e-05,3.4e-05,445233
2018-12-14,3.4e-05,3.5e-05,2.8999999999999997e-05,3.2e-05,3.2e-05,362216
2018-12-15,3.2e-05,3.2e-05,2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,427459
2018-12-16,2.8000000000000003e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,2.8000000000000003e-05,303379
2018-12-17,2.8000000000000003e-05,2.9999999999999997e-05,2.8000000000000003e-05,2.9999999999999997e-05,2.9999999999999997e-05,363338
2018-12-18,2.8999999999999997e-05,3.1e-05,2.8999999999999997e-05,3.1e-05,3.1e-05,128321
2018-12-19,3.1e-05,3.9e-05,2.9999999999999997e-05,3.4e-05,3.4e-05,258190
2018-12-20,3.1e-05,3.3e-05,2.9999999999999997e-05,3.2e-05,3.2e-05,406808
2018-12-21,3.2e-05,3.3e-05,2.9999999999999997e-05,3.1e-05,3.1e-05,313739
2018-12-22,3.1e-05,3.3e-05,2.9999999999999997e-05,3.2e-05,3.2e-05,411943
2018-12-23,3.2e-05,3.4e-05,3.1e-05,3.2e-05,3.2e-05,355549
2018-12-24,3.2e-05,4.3e-05,3.2e-05,3.8e-05,3.8e-05,484927
2018-12-25,3.8e-05,3.9e-05,3.3e-05,3.4e-05,3.4e-05,426542
2018-12-26,3.5e-05,4.2e-05,3.3e-05,3.6e-05,3.6e-05,366869
2018-12-27,3.6e-05,3.7e-05,3.4e-05,3.5e-05,3.5e-05,346520
2018-12-28,3.5e-05,3.7e-05,3.4e-05,3.4e-05,3.4e-05,439178
2018-12-29,3.4e-05,3.9e-05,3.4e-05,3.7e-05,3.7e-05,421091
2018-12-30,3.7e-05,3.8e-05,3.6e-05,3.8e-05,3.8e-05,433538
2018-12-31,3.9e-05,4e-05,3.8e-05,3.8e-05,3.8e-05,467885
2019-01-01,3.8e-05,4e-05,3.7e-05,3.8e-05,3.8e-05,299186
2019-01-02,3.8e-05,4e-05,3.8e-05,4e-05,4e-05,424465
2019-01-03,3.9e-05,4.2e-05,3.5e-05,3.6e-05,3.6e-05,367900
2019-01-04,3.5e-05,3.7e-05,3.5e-05,3.6e-05,3.6e-05,379239
2019-01-05,3.6e-05,4.6e-05,3.5e-05,3.7e-05,3.7e-05,426469
2019-01-06,3.7e-05,4e-05,3.7e-05,3.8e-05,3.8e-05,370211
2019-01-07,3.8e-05,4e-05,3.7e-05,3.7e-05,3.7e-05,397587
2019-01-08,3.7e-05,3.8e-05,3.2e-05,3.3e-05,3.3e-05,400107
2019-01-09,3.3e-05,3.5e-05,3.3e-05,3.5e-05,3.5e-05,396314
2019-01-10,3.5e-05,3.5e-05,2.8999999999999997e-05,3.1e-05,3.1e-05,487617
2019-01-11,3.1e-05,3.5e-05,2.8999999999999997e-05,3.2e-05,3.2e-05,406014
2019-01-12,3.3e-05,3.4e-05,2.8000000000000003e-05,2.8999999999999997e-05,2.8999999999999997e-05,291810
2019-01-13,2.8999999999999997e-05,2.9999999999999997e-05,2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,351355
2019-01-14,2.8000000000000003e-05,3.1e-05,2.8000000000000003e-05,2.9999999999999997e-05,2.9999999999999997e-05,385710
2019-01-15,2.9999999999999997e-05,3.1e-05,2.8000000000000003e-05,2.8999999999999997e-05,2.8999999999999997e-05,287259
2019-01-16,2.8999999999999997e-05,2.9999999999999997e-05,2.8000000000000003e-05,2.8999999999999997e-05,2.8999999999999997e-05,303125
2019-01-17,2.8999999999999997e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,386657
2019-01-18,2.8000000000000003e-05,2.9999999999999997e-05,2.8000000000000003e-05,2.9999999999999997e-05,2.9999999999999997e-05,265602
2019-01-19,2.9999999999999997e-05,3.3e-05,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,207186
2019-01-20,2.9999999999999997e-05,2.9999999999999997e-05,2.8000000000000003e-05,2.8999999999999997e-05,2.8999999999999997e-05,232173
2019-01-21,2.9999999999999997e-05,3.1e-05,2.8999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,243320
2019-01-22,2.9999999999999997e-05,3.1e-05,2.8999999999999997e-05,3.1e-05,3.1e-05,367252
2019-01-23,3.1e-05,3.2e-05,2.9999999999999997e-05,3.1e-05,3.1e-05,280190
2019-01-24,3.1e-05,3.1e-05,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,303684
2019-01-25,2.8999999999999997e-05,2.9999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,352921
2019-01-26,2.8999999999999997e-05,3.4e-05,2.8999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,388243
2019-01-27,2.9999999999999997e-05,3.1e-05,2.8999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,340124
2019-01-28,2.9999999999999997e-05,2.9999999999999997e-05,2.6000000000000002e-05,2.8000000000000003e-05,2.8000000000000003e-05,347206
2019-01-29,2.8000000000000003e-05,2.8000000000000003e-05,2.4e-05,2.6000000000000002e-05,2.6000000000000002e-05,215876
2019-01-30,2.6000000000000002e-05,2.7000000000000002e-05,2.5e-05,2.6000000000000002e-05,2.6000000000000002e-05,200318
2019-01-31,2.6000000000000002e-05,2.7000000000000002e-05,2.5e-05,2.6000000000000002e-05,2.6000000000000002e-05,179220
2019-02-01,2.6000000000000002e-05,2.8999999999999997e-05,2.5e-05,2.5e-05,2.5e-05,181533
2019-02-02,2.5e-05,2.6000000000000002e-05,2.5e-05,2.6000000000000002e-05,2.6000000000000002e-05,195136
2019-02-03,2.6000000000000002e-05,2.7000000000000002e-05,2.5e-05,2.6000000000000002e-05,2.6000000000000002e-05,191678
2019-02-04,2.5e-05,2.7000000000000002e-05,2.5e-05,2.6000000000000002e-05,2.6000000000000002e-05,103231
2019-02-05,2.6000000000000002e-05,2.7000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,87043
2019-02-06,2.6000000000000002e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,2.5e-05,90964
2019-02-07,2.5e-05,2.6000000000000002e-05,2.4e-05,2.4e-05,2.4e-05,135236
2019-02-08,2.4e-05,2.5e-05,2.3e-05,2.5e-05,2.5e-05,204309
2019-02-09,2.4e-05,2.5e-05,2.4e-05,2.4e-05,2.4e-05,178457
2019-02-10,2.4e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,2.5e-05,137918
2019-02-11,2.5e-05,2.7000000000000002e-05,2.4e-05,2.6000000000000002e-05,2.6000000000000002e-05,196735
2019-02-12,2.6000000000000002e-05,2.8000000000000003e-05,2.4e-05,2.5e-05,2.5e-05,170444
2019-02-13,2.5e-05,2.7000000000000002e-05,2.4e-05,2.6000000000000002e-05,2.6000000000000002e-05,205021
2019-02-14,2.5e-05,2.6000000000000002e-05,2.4e-05,2.4e-05,2.4e-05,229685
2019-02-15,2.4e-05,2.5e-05,2.4e-05,2.5e-05,2.5e-05,182430
2019-02-16,2.5e-05,2.5e-05,2.4e-05,2.4e-05,2.4e-05,153348
2019-02-17,2.4e-05,2.5e-05,2.4e-05,2.5e-05,2.5e-05,147755
2019-02-18,2.5e-05,2.7000000000000002e-05,2.5e-05,2.7000000000000002e-05,2.7000000000000002e-05,187027
2019-02-19,2.7000000000000002e-05,2.7000000000000002e-05,2.5e-05,2.6000000000000002e-05,2.6000000000000002e-05,183518
2019-02-20,2.6000000000000002e-05,2.6000000000000002e-05,2.4e-05,2.4e-05,2.4e-05,187056
2019-02-21,2.4e-05,2.5e-05,2.2e-05,2.4e-05,2.4e-05,135424
2019-02-22,2.4e-05,2.7000000000000002e-05,2.4e-05,2.6000000000000002e-05,2.6000000000000002e-05,103241
2019-02-23,2.6000000000000002e-05,3.2e-05,2.5e-05,2.8999999999999997e-05,2.8999999999999997e-05,130484
2019-02-24,2.8999999999999997e-05,3.2e-05,2.5e-05,2.5e-05,2.5e-05,145317
2019-02-25,2.5e-05,2.7000000000000002e-05,2.5e-05,2.6000000000000002e-05,2.6000000000000002e-05,150993
2019-02-26,2.6000000000000002e-05,2.7000000000000002e-05,2.5e-05,2.5e-05,2.5e-05,112119
2019-02-27,2.5e-05,2.5e-05,2.4e-05,2.5e-05,2.5e-05,159769
2019-02-28,2.5e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,2.5e-05,138982
2019-03-01,2.5e-05,2.6000000000000002e-05,2.5e-05,2.6000000000000002e-05,2.6000000000000002e-05,143109
